category,player,v1,v2,v3
pass,Matthew Stafford,4707,46,
pass,Jared Goff,4564,34,
pass,Dak Prescott,4552,30,
pass,Drake Maye,4394,31,
pass,Sam Darnold,4048,25,
pass,Trevor Lawrence,4007,29,
pass,Caleb Williams,3942,27,
pass,Bo Nix,3931,25,
pass,Justin Herbert,3727,26,
pass,Baker Mayfield,3693,26,
pass,Josh Allen,3668,25,
pass,Patrick Mahomes,3587,22,
pass,Jordan Love,3381,23,
pass,Jacoby Brissett,3366,23,
pass,Jalen Hurts,3224,25,
pass,Cam Ward,3169,15,
pass,Daniel Jones,3101,19,
pass,C.J. Stroud,3041,19,
pass,Bryce Young,3011,23,
pass,Lamar Jackson,2549,21,
pass,Tyler Shough,2384,10,
pass,Jaxson Dart,2272,15,
pass,Brock Purdy,2167,20,
pass,Joe Burrow,1809,17,
pass,Jayden Daniels,1262,8,
pass,Kyler Murray,962,6,
pass,Malik Willis,714,5,
rush,Jonathan Taylor,1585,18,
rush,James Cook,1621,12,
rush,Christian McCaffrey,1202,10,
rush,Derrick Henry,1595,16,
rush,Bijan Robinson,1478,7,
rush,Saquon Barkley,1140,7,
rush,Ashton Jeanty,975,5,
rush,Travis Etienne,1107,7,
rush,Kyren Williams,1252,10,
rush,Javonte Williams,1201,11,
rush,Jahmyr Gibbs,1223,13,
rush,Breece Hall,1065,4,
rush,Tony Pollard,1082,5,
rush,De'Von Achane,1350,8,
rush,Rico Dowdle,1076,6,
rush,Josh Jacobs,929,13,
rush,Chase Brown,1019,6,
rush,Quinshon Judkins,827,7,
rush,D'Andre Swift,1087,9,
rush,Kenneth Walker III,1027,5,
rush,Jaylen Warren,958,6,
rush,Woody Marks,703,2,
rush,Zach Charbonnet,730,12,
rush,TreVeyon Henderson,911,9,
rush,Tyrone Tracy Jr.,740,2,
rush,Jacory Croskey-Merritt,805,8,
rush,Bucky Irving,588,1,
rush,Kyle Monangai,783,5,
rush,Jordan Mason,758,6,
rush,David Montgomery,716,8,
rush,Kimani Vidal,643,3,
rush,J.K. Dobbins,772,4,
rush,RJ Harvey,540,7,
rush,Blake Corum,746,6,
rush,Tyler Allgeier,514,8,
rush,Chuba Hubbard,511,1,
rush,Aaron Jones,548,2,
rush,Rachaad White,572,4,
rush,Alvin Kamara,471,1,
rush,Rhamondre Stevenson,603,7,
rush,Omarion Hampton,545,4,
rush,Isiah Pacheco,462,1,
rush,Kenneth Gainwell,537,5,
rush,Josh Allen,579,14,
rush,Chris Rodriguez,500,6,
rush,Jalen Hurts,421,8,
rush,Drake Maye,450,4,
rush,Cam Skattebo,410,5,
rush,Brian Robinson Jr.,400,2,
rush,Jaxson Dart,487,9,
rush,Sean Tucker,320,7,
rush,Justin Herbert,498,2,
rush,Bo Nix,356,5,
rush,Bhayshul Tuten,307,5,
rush,Trevor Lawrence,359,9,
rush,Caleb Williams,388,3,
rush,Tyjae Spears,283,2,
rush,Jaylen Wright,288,2,
rush,Lamar Jackson,349,2,
rush,Dylan Sampson,175,0,
rush,Patrick Mahomes,422,5,
rush,Tank Bigsby,356,2,
rush,Keaton Mitchell,341,1,
rush,Jayden Daniels,278,2,
rush,Ray Davis,275,0,
rush,Baker Mayfield,382,1,
rush,Bryce Young,216,2,
rush,Dak Prescott,177,2,
rush,C.J. Stroud,209,1,
rush,Jordan Love,199,0,
rush,Daniel Jones,164,5,
rush,Tyler Shough,186,3,
rush,Cam Ward,159,2,
rush,Jaydon Blue,129,1,
rush,Jacoby Brissett,168,1,
rush,Sam Darnold,95,0,
rush,Brock Purdy,147,3,
rush,James Conner,95,1,
rush,George Holani,73,1,
rush,Malik Willis,123,2,
rush,Braelon Allen,76,1,
